STN,LON,LAT,STN_SP,HT,HT_WD,LAU,STN,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN
364,127.11901,37.38276,A1110000,55.7,0,4119,109,분당구,----,11B20605,4113510200,141
365,126.89514,37.40925,A1110000,30.13,0,4119,109,석수동,----,11B20602,4117110200,141
366,126.9753,37.35506,A1110000,106.25,0,4119,109,오전동 *,----,11B20609,4143010500,141
367,126.78457,37.40617,A1110000,16.86,0,4112,112,신현동,----,11B20202,4139010400,141
368,127.15029,37.59924,A1110000,36.85,0,4119,98,수택동,----,11B20501,4131010500,141
369,126.91692,37.36404,A1110000,124.68,0,4119,109,수리산길,----,11B20610,4141010400,141
370,127.25,37.1789,A1100000,241,0,4119,109,이동묵리,----,11B20612,4146125627,141
371,127.11451,37.2804,A1100000,101.62,0,4119,109,기흥구갈,----,11B20612,4146310200,141
372,127.0267,37.8722,A1100000,108,0,4099,99,은현면,----,11B20304,4163031022,141
373,127.0458,37.7706,A1100000,163,0,4099,99,남방,----,11B20304,4163010300,141
374,126.9706,37.0467,A1110000,50.4,0,4119,109,청북,----,11B20606,4122025928,141
375,126.9875,37.7919,A1100000,150,0,4112,99,백석읍,----,11B20304,4163025022,141
376,126.85889,37.44722,1111000,68,0,4109,109,광명노온,----,11B10103,4121010500,141
377,126.89194000,37.39523000,01111000,28.00,0.00,4109,109,안양만안,----,11B20602,4117110300,141
379,127.5463,35.54046,1111000,292,0,4109,146,번암,----,11F10301,4574032028,278
400,127.08162,37.4982,1110000,12.66,0,4108,109,강남,----,11B10101,1168011400,101
401,127.02601,37.48462,1100000,33.05,0,4108,109,서초,----,11B10101,1165010800,101
402,127.14498,37.55552,1110000,56.21,0,4108,109,강동,----,11B10101,1174010200,101
403,127.0967,37.51151,1100000,58.26,0,4108,109,송파 *,----,11B10101,1171010100,101
404,126.82953,37.5739,1100000,80.4,0,4108,109,강서,----,11B10101,1150010300,101
405,126.8782,37.52961,1100000,11.93,0,4108,109,양천 *,----,11B10101,1147010200,101
406,127.02947,37.66612,1110000,56.65,0,4108,109,도봉,----,11B10101,1132010600,101
407,127.09192,37.62186,1110000,25.3,0,4108,109,노원,----,11B10101,1135010300,101
408,127.06036,37.58463,1110000,53.96,0,4108,109,동대문,----,11B10101,1123010400,101
409,127.08682,37.58551,1110000,39.09,0,4108,109,중랑,----,11B10101,1126010100,101
410,126.91739,37.49331,1111000,44,0,4111,109,기상청,----,11B10101,1159010900,101
411,126.92915,37.55165,1110000,100.67,0,4108,109,마포,----,11B10101,1144012300,101
412,126.94078,37.57047,1111000,103.08,0,4109,109,서대문,----,11B10101,1141011400,101
413,127.08566,37.5338,1110000,28.63,0,4108,109,광진,----,11B10101,1121510500,101
414,126.99944,37.61172,1110000,128.62,0,4108,109,성북,----,11B10101,1129013300,101
415,126.97611,37.52038,1111000,31.73,0,4109,109,용산,----,11B10101,1117012900,101
416,126.9426,37.64648,1100000,57,0,4111,109,은평,----,11B10101,1138011400,101
417,126.90016,37.46551,1111000,45,0,4108,109,금천,----,11B10101,1154510200,101
418,126.93904,37.52489,1110000,10.66,0,4108,109,한강,----,11B10101,1156011000,101
419,126.98736,37.55236,1111000,267.05,0,4108,109,중구,----,11B10101,1114014200,101
421,127.03885,37.54721,1110000,34.73,0,4108,109,성동,----,11B10101,1120011400,101
423,126.827,37.494,1110000,56.08,0,4108,109,구로,----,11B10101,1153010900,101
424,127.02576,37.63972,1110000,57.29,0,4108,109,강북 *,----,11B10101,1130510300,101
425,126.98154,37.46347,1110000,113,0,4111,109,남현,----,11B10101,1162010300,101
426,124.63048,37.96611,1111000,147.29,9.4,4102,102,백령(레),----,11A00101,2872033024,131
427,126.67343,37.64279,1111000,10.54,0,4111,119,김포장기,----,11B20102,4157010400,221
428,127.21284,37.55122,1111000,23.73,0,4109,119,하남덕풍,----,11B20504,4145010800,141
429,126.7636,37.50059,W0000000,15.67,0,4109,119,부천원미,----,11B20204,4119010800,----
430,127.00971,37.27464,A1110000,90.33,0,4119,109,경기,----,11B20601,4111513600,141
431,127.07179,37.74874,A1110000,52.95,0,4098,99,신곡,----,11B20301,4115010400,141
432,126.9204565,37.13107,A1100000,29,0,4119,109,향남,----,11B20604,4159025939,141
433,126.7636,37.50059,A1110000,15.67,0,4112,112,부천,----,11B20204,4119010800,141
434,126.9589167,37.39158333,A1110000,96,0,4119,109,안양,----,11B20602,4117300000,141
435,126.83397,37.33262,A1110000,73,0,4112,112,고잔,----,11B20203,4127310100,141
436,127.18839,37.23444,A1110000,110.83,0,4119,109,처인역삼,----,11B20612,4146110200,141
437,126.86531,37.47867,A1110000,52.69,0,4112,112,광명,----,11B10103,4121010200,141
438,126.93534,37.36148,A1110000,84.71,0,4119,109,군포,----,11B20610,4141010500,141
439,127.0377778,37.20605556,A1110000,66,0,4119,109,진안 *,----,11B20604,4159011600,141
440,127.4423889,37.275,A1110000,168,0,4203,203,설봉,----,11B20701,4150010300,141
441,126.76244,37.60758,A1100000,28,0,4011,112,김포,----,11B20102,4157025322,141
442,127.28568,37.41884,A1111000,37.41,0,4203,203,지월,----,11B20702,4161025329,141
443,127.2901,37.02278,A1110000,66.04,0,4203,109,보개,----,11B20611,4155031029,141
444,127.21367,37.53794,A1110000,27.68,0,4203,203,하남,----,11B20504,4145010600,141
445,126.96884,37.34452,A1110000,80.4,0,4119,109,의왕,----,11B20609,4143010100,141
446,127.06373,37.14031,A1110000,17.48,0,4119,109,남촌,----,11B20603,4137010100,141
447,127.6812778,37.32622222,A1110000,72,0,4203,203,북내,----,11B20703,4167036021,141
448,127.4451667,37.39877778,A1110000,131,0,4203,203,산북,----,11B20703,4167038021,141
449,127.44809,37.51002,A1110000,32,0,4202,203,옥천,----,11B20503,4183034021,141
450,126.83124,37.65823,A1110000,45.34,0,4099,99,주교,----,11B20302,4128110100,141
451,127.20483,37.69851,A1110000,87.99,0,4098,98,오남,----,11B20502,4136026221,141
452,127.22638,37.93408,A1110000,95.19,0,4098,98,신북,----,11B20403,4165034022,141
453,126.8983333,37.44,A1110000,37,0,4112,112,소하,----,11B10103,4121010400,141
454,127.06693,37.97426,A1110000,70.71,0,4098,98,하봉암,----,11B20401,4125011000,141
455,127.50083,37.84598,A1110000,71.8,0,4101,98,경기가평,----,11B20404,4182025021,141
456,127.07564,38.09632,A1110000,73.31,0,4099,98,연천,----,11B20402,4180025021,141
457,127.1941806,37.52202222,A1110000,52,0,4203,203,춘궁 *,Chungung,11B20504,4145011800,141
458,127.30579,37.4747,A1110000,44.59,0,4203,203,퇴촌 *,----,11B20702,4161034026,141
459,127.1967556,37.345475,A1110000,89,0,4203,203,오포,Opo,11B20702,4161025024,141
460,127.4039389,37.36640278,A1110000,182,0,4203,203,실촌 *,Silchon,11B20702,4161025927,141
461,127.35799,37.24896,A1110000,109.89,0,4203,203,마장,----,11B20701,4150034021,141
462,127.48022,37.17172,A1110000,91.21,0,4203,203,모가,----,11B20701,4150036021,141
463,127.5412417,37.3327,A1100000,57,0,4203,203,흥천 *,Heungcheon,11B20703,4167032000,141
464,127.6625722,37.20612778,A1110000,86,0,4203,203,점동,Jeomdeung,11B20703,4167031021,141
465,127.54506,37.20173,A1110000,78.02,0,4203,203,가남,----,11B20703,4167025021,141
466,127.533325,37.39278889,A1110000,60,0,4203,203,금사 *,Geumsa,11B20703,4167033021,141
467,127.1944778,37.05979167,A1110000,55,0,4203,109,양성,Yangseong,11B20611,4155036021,141
468,127.2592222,36.94306944,A1110000,63,0,4203,109,서운,Seoun,11B20611,4155033021,141
469,127.4770111,37.0906,A1110000,95,0,4203,109,일죽 *,IIjuk,11B20611,4155039028,141
470,127.2633861,37.08270833,A1110000,68,0,4203,109,고삼,Gosam,11B20611,4155042024,141
471,127.0648972,37.06644167,A1110000,74,0,4119,109,송탄,Songtan,11B20606,4122010100,141
472,126.8534889,36.98447778,A1110000,25,0,4119,109,포승,Poseung,11B20606,4122025622,141
473,127.18636,37.84864,A1110000,134.7,0,4098,98,가산,----,11B20403,4165033021,141
474,127.27225,38.08660556,A1110000,148,0,4098,98,영북,Yeongbuk,11B20403,4165039021,141
475,127.2511972,38.15774722,A1110000,197,0,4098,98,관인,Gwanin,11B20403,4165040024,141
476,127.28831,37.90132,A1110000,151.72,0,4098,98,화현,----,11B20403,4165041021,141
477,127.0441,37.9056,A1110000,71.43,0,4098,98,상패 *,----,11B20401,4125011200,141
478,127.0148889,38.05586111,A1110000,36,0,4099,98,왕징,Wangjing,11B20402,4180035021,141
479,126.8863056,37.97905556,A1110000,29,0,4099,98,장남,Jangnam,11B20402,4180038021,141
480,126.99289,38.04743,A1110000,42.35,0,4099,98,미산,----,11B20402,4180034024,141
481,126.7160889,37.80241389,A1110000,37,0,4099,99,탄현,Tanhyeon,11B20305,4148032027,141
482,126.85131,37.77602,A1110000,42.86,0,4099,99,광탄,----,11B20305,4148035027,141
483,126.78913,37.92526,A1110000,18.08,0,4099,99,진동,----,11B20305,4148040021,141
484,127.3164778,37.64657222,A1110000,128,0,4098,98,창현,Changhyeon,11B20502,4136025628,141
485,127.4946917,37.67618889,A1110000,83,0,4101,98,신천 *,Sincheon,11B20404,4182031021,141
486,127.4143944,37.73474722,A1110000,61,0,4101,98,외서,Oeseo,11B20404,4182032521,141
487,126.5838672,37.646345,A1110000,42,0,4112,112,대곶,----,11B20102,4157034000,141
488,126.7411667,37.21497222,A1110000,43,0,4119,109,송산,----,11B20604,4159034023,141
489,126.70881,37.16658,A1110000,25.46,0,4119,109,서신,----,11B20604,4159035029,141
490,127.11,38.0244444,A1100000,72,10,4098,98,초성리,----,11B20402,4180032021,141
491,127.0208333,38.0822222,A1100000,39,10,4098,98,군남,----,11B20402,4180031023,141
492,126.8575,37.4217,A1100000,36.4,0,4108,112,학온동,----,11B10103,4121010700,141
493,127.00398,36.72266,1111000,53.64,0,4111,133,송악,----,11C20302,4420031021,302
494,127.24064,36.53152,1111000,107.8,0,4109,133,세종고운,----,11C20404,3611011200,301
495,127.16254,36.98062,1110000,13,0,4119,109,공도,----,11B20611,4155025028,111
496,127.26876,36.45853,1110000,27.23,0,4133,133,세종금남,----,11C20404,3611034040,301
497,128.85147,37.57516,1111000,660.4,0,4109,105,삽당령,----,11D20200,4215032025,281
498,128.51447,37.87925,1110000,1018.68,0,4212,105,구룡령,----,11D20200,4272039023,281
499,127.02354,38.13608,1111000,53.7,0,4109,109,중면,----,11B20402,4180037021,112
500,126.47015,37.66571,1111000,48,0,4109,112,양도,----,11B20101,2871035027,122
501,125.69819,37.65891,1111000,7.63,0,4112,112,대연평,----,11A00102,2872038021,121
502,126.29164,37.78944,1111000,13.94,0,4109,112,교동,----,11B20101,2871040025,122
503,126.71193,37.90804,1110000,18.29,0,4099,109,도라산,----,11B20305,4148039024,113
504,127.18073,37.87035,1110000,105.14,0,4111,109,포천,----,11B20403,4165010300,112
505,127.34543,37.82439,1111000,170.45,0,4109,109,가평조종,----,11B20404,4182034521,112
506,126.77693,37.74823,1111000,12.88,0,4109,109,파주금촌,----,11B20305,4148010100,113
507,127.14358,38.02479,1111000,76.06,0,4109,109,창수,----,11B20403,4165035025,112
508,126.36093,37.46649,1111000,140.91,0,4112,112,왕산,----,11B20201,2811014900,121
509,126.95015,37.45284,1100000,141.64,0,4108,109,관악,----,11B10101,1162010200,101
510,126.90705,37.52706,1111000,25.38,0,4109,109,영등포 *,----,11B10101,1156011700,101
511,126.69047,37.55498,1111000,47.04,0,4109,112,공촌동,----,11B20201,2826010500,121
512,126.66209,37.39684,1111000,8.13,0,4109,112,인천연수,----,11B20201,2818510500,121
513,126.14495,37.22721,1111000,20.02,0,4109,112,덕적도,----,11B20201,2872035022,121
514,126.5787,37.23767,1110000,10,0,4112,112,대부도,----,11B20203,4127311100,121
515,126.77389,37.08453,1110000,10.47,0,4119,109,운평,----,11B20604,4159025623,111
516,127.25017,37.00371,1110000,23.92,0,4119,109,안성,----,11B20611,4155012200,111
517,128.4745,38.38537,1110000,6.11,0,4090,105,간성,----,11D20402,4282025022,282
518,128.1211,38.26958,1110000,468.47,0,4211,101,해안,----,11D20100,4280034022,291
519,127.51941,38.07545,1110000,298.11,0,4101,101,사내,----,11D10102,4279034021,291
520,128.51818,38.16705,1110000,135.58,0,4090,105,설악동,----,11D20101,4221011200,282
521,128.6026,38.14373,1110000,15.97,0,4090,105,강현,----,11D20403,4283035038,282
522,127.9838,37.78712,1111000,197.86,0,4109,101,화촌,----,11D10302,4272031025,292
523,128.82139,37.89848,1110000,8.94,0,4105,105,주문진,----,11D20501,4215025021,281
524,128.92477,37.78579,1110000,6.61,0,4105,105,강문,----,11D20501,4215011300,281
525,128.37725,37.61234,1110000,552.11,0,4100,105,봉평,----,11D10503,4276034021,283
526,128.39469,37.37748,1110000,303.18,0,4121,105,평창,----,11D10503,4276025042,287
527,128.64126,37.21108,1110000,392.43,0,4121,105,신동,----,11D10502,4277025921,287
529,129.28585,37.14156,1110000,36.07,0,4106,105,원덕,----,11D20602,4223025332,284
530,130.8118,37.5151,1110000,178,0,4111,115,태하,----,1.10E+102,4794031026,211
531,127.55219,37.89807,1110000,109.66,0,4101,109,가평북면,----,11B20404,4182035022,112
532,127.07349,37.73476,1110000,89.49,0,4098,109,의정부,----,11B20301,4115010500,112
533,127.48073,37.32777,1110000,82,0,4111,109,백사,----,11B20701,4150032000,114
534,127.61058,37.121,1110000,88.2,0,4203,109,장호원,----,11B20701,4150025023,114
